name,id,slot,tags,atq,def,pv,crit,description,weight
Advanced Frog Leather Pants,BP_ZB_KuZi_Boss_2_2_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute
Frog Bone Necklace,BP_ZB_XiangLian_Boss_2_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with Fogfrog bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%
Frog Bone Ring,BP_ZB_JieZhi_Boss_2_c,ring,Boss,1.5/s,25,36,264,A ring decorated with Fogfrog bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%
Frog Claw Gloves,BP_ZB_ShouTao_Boss_2_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Fogfrog claws (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute
Frog Leather Armor,BP_ZB_YiFu_Boss_2_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute
Frog Leather Boots,BP_ZB_XieZi_Boss_2_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute
Frog Leather Pants,BP_ZB_KuZi_Boss_2_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute
Advanced Giant Ape Gloves,BP_ZB_ShouTao_Boss_4_2_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Vajra Ape's claw (Stats get enhanced further when inheriting gears). Set effects: Max Stamina +50, HP +0.5% per second
Advanced Giant Ape Leather Armor,BP_ZB_YiFu_Boss_4_2_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Vajra Ape Hide (Stats get enhanced further based on inherited gear). Set effects: Max Stamina +50, HP +0.5% every second
Advanced Giant Ape Leather Boots,BP_ZB_XieZi_Boss_4_2_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Vajra Ape Hide (Stats get enhanced further based on inherited gear). Set effects: Max Stamina +50, HP +0.5% every second
Advanced Giant Ape Leather Pants,BP_ZB_KuZi_Boss_4_2_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Vajra Ape Hide (Stats get enhanced further based on inherited gear). Set effects: Max Stamina +50, HP +0.5% every second
Advanced Giant Ape Necklace,BP_ZB_XiangLian_Boss_4_2_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with a Vajra Ape's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Max Stamina +50
Advanced Giant Ape Ring,BP_ZB_JieZhi_Boss_4_2_c,ring,Boss,1.5/s,25,36,264,A ring decorated with a Vajra Ape's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Max Stamina +50
Giant Ape Gloves,BP_ZB_ShouTao_Boss_4_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Vajra Ape's claw (Stats get enhanced further when inheriting gears). Set effects: Max Stamina +50, HP +0.5% per second
Giant Ape Leather Armor,BP_ZB_YiFu_Boss_4_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Vajra Ape Hide (Stats get enhanced further based on inherited gear). Set effects: Max Stamina +50, HP +0.5% every second
Giant Ape Leather Boots,BP_ZB_XieZi_Boss_4_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Vajra Ape Hide (Stats get enhanced further based on inherited gear). Set effects: Max Stamina +50, HP +0.5% every second
Giant Ape Leather Pants,BP_ZB_KuZi_Boss_4_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Vajra Ape Hide (Stats get enhanced further based on inherited gear). Set effects: Max Stamina +50, HP +0.5% every second
Giant Ape Necklace,BP_ZB_XiangLian_Boss_4_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with a Vajra Ape's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Max Stamina +50
Giant Ape Ring,BP_ZB_JieZhi_Boss_4_c,ring,Boss,1.5/s,25,36,264,A ring decorated with a Vajra Ape's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Max Stamina +50
Advanced Mammoth Gloves,BP_ZB_ShouTao_Boss_5_2_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Advanced Mammoth Leather Armor,BP_ZB_YiFu_Boss_5_2_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Advanced Mammoth Leather Boots,BP_ZB_XieZi_Boss_5_2_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Advanced Mammoth Leather Pants,BP_ZB_KuZi_Boss_5_2_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Advanced Mammoth Necklace,BP_ZB_XiangLian_Boss_5_2_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with a Mammoth ivory, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Crit +15%
Advanced Mammoth Ring,BP_ZB_JieZhi_Boss_5_2_c,ring,Boss,1.5/s,25,36,264,A ring decorated with Mammoth bones, capable of deterring enemies (Stats get enhanced further based on inherited gears). Set effects: Crit +15%
Mammoth Gloves,BP_ZB_ShouTao_Boss_5_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Mammoth Leather Armor,BP_ZB_YiFu_Boss_5_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Mammoth Leather Boots,BP_ZB_XieZi_Boss_5_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Mammoth Leather Pants,BP_ZB_KuZi_Boss_5_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%
Mammoth Necklace,BP_ZB_XiangLian_Boss_5_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with a Mammoth ivory, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Crit +15%
Mammoth Ring,BP_ZB_JieZhi_Boss_5_c,ring,Boss,1.5/s,25,36,264,A ring decorated with Mammoth bones, capable of deterring enemies (Stats get enhanced further based on inherited gears). Set effects: Crit +15%
Advanced Saber-toothed Predator Gloves,BP_ZB_ShouTao_JianChiHu_2_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Saber-toothed Predator's claw (Stats get enhanced further when inheriting gears). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Advanced Saber-toothed Predator Leather Armor,BP_ZB_YiFu_JianChiHu_2_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Saber-toothed Predator Hide (Stats get enhanced further based on inherited gear). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Advanced Saber-toothed Predator Leather Boots,BP_ZB_XieZi_JianChiHu_2_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Saber-toothed Predator Hide (Stats get enhanced further based on inherited gear). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Advanced Saber-toothed Predator Leather Pants,BP_ZB_KuZi_JianChiHu_2_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Saber-toothed Predator Hide (Stats get enhanced further based on inherited gear). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Advanced Saber-toothed Predator Necklace,BP_ZB_XiangLian_JianChiHu_2_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with a Saber-toothed Predator's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Attack Speed +5%
Advanced Saber-toothed Predator Ring,BP_ZB_JieZhi_JianChiHu_2_c,ring,Boss,1.5/s,25,36,264,A ring decorated with a Saber-toothed Predator's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Attack Speed +5%
Saber-toothed Predator Gloves,BP_ZB_ShouTao_JianChiHu_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Saber-toothed Predator's claw (Stats get enhanced further when inheriting gears). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Saber-toothed Predator Leather Armor,BP_ZB_YiFu_JianChiHu_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Saber-toothed Predator Hide (Stats get enhanced further based on inherited gear). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Saber-toothed Predator Leather Boots,BP_ZB_XieZi_JianChiHu_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Saber-toothed Predator Hide (Stats get enhanced further based on inherited gear). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Saber-toothed Predator Leather Pants,BP_ZB_KuZi_JianChiHu_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Saber-toothed Predator Hide (Stats get enhanced further based on inherited gear). Set effects: Attack Speed +5%, Bleed Trigger Rate +50%
Saber-toothed Predator Necklace,BP_ZB_XiangLian_JianChiHu_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with a Saber-toothed Predator's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Attack Speed +5%
Saber-toothed Predator Ring,BP_ZB_JieZhi_JianChiHu_c,ring,Boss,1.5/s,25,36,264,A ring decorated with a Saber-toothed Predator's fang, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Attack Speed +5%
Advanced Tempest Griffin Feather Armor,BP_ZB_YiFu_Boss_3_2_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Advanced Tempest Griffin Feather Boots,BP_ZB_XieZi_Boss_3_2_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Advanced Tempest Griffin Feather Pants,BP_ZB_KuZi_Boss_3_2_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Advanced Tempest Griffin Gloves,BP_ZB_ShouTao_Boss_3_2_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Tempest Griffin claws (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Advanced Tempest Griffin Necklace,BP_ZB_XiangLian_Boss_3_2_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%
Advanced Tempest Griffin Ring,BP_ZB_JieZhi_Boss_3_2_c,ring,Boss,1.5/s,25,36,264,A ring decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%
Tempest Griffin Feather Armor,BP_ZB_YiFu_Boss_3_c,costume,Boss,1.5/s,25,36,264,Costume wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Tempest Griffin Feather Boots,BP_ZB_XieZi_Boss_3_c,shoes,Boss,1.5/s,25,36,264,Boots wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Tempest Griffin Feather Pants,BP_ZB_KuZi_Boss_3_c,pants,Boss,1.5/s,25,36,264,Pants wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Tempest Griffin Gloves,BP_ZB_ShouTao_Boss_3_c,gloves,Boss,1.5/s,25,36,264,Gloves attached with Tempest Griffin claws (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%, Body Radiation -3 per minute
Tempest Griffin Necklace,BP_ZB_XiangLian_Boss_3_c,necklare,Boss,1.5/s,25,36,264,A necklace decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%
Tempest Griffin Ring,BP_ZB_JieZhi_Boss_3_c,ring,Boss,1.5/s,25,36,264,A ring decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%
Beast Bone Necklace,BP_ZB_XiangLian_2_c,necklare,Materials,1.5/s,25,36,264,An exquisite necklace made of beast bone,0.08
Beast Bone Ring,BP_ZB_JieZhi_2_c,ring,Materials,1.5/s,25,36,264,An exquisite ring made of beast bone,0.08
Beast Hide Costume,BP_ZB_YiFu_2_c,costume,Materials,1.5/s,25,36,264,Costume made of beast hide,0.4
Beast Hide Gloves,BP_ZB_ShouTao_2_c,gloves,Materials,1.5/s,25,36,264,Gloves made of beast hide,0.15
Beast Hide Pants,BP_ZB_KuZi_2_c,pants,Materials,1.5/s,25,36,264,Pants made of beast hide,0.4
Beast Hide Shoes,BP_ZB_XieZi_2_c,shoes,Materials,1.5/s,25,36,264,Shoes made of beast hide,0.3
Bronze Costume,BP_ZB_YiFu_3_c,costume,Materials,1.5/s,25,36,264,Costume made of bronze,0.6
Bronze Gloves,BP_ZB_ShouTao_3_c,gloves,Materials,1.5/s,25,36,264,Gloves made of bronze,0.3
Bronze Necklace,BP_ZB_XiangLian_3_c,necklare,Materials,1.5/s,25,36,264,A necklace made of bronze,0.15
Bronze Pants,BP_ZB_KuZi_3_c,pants,Materials,1.5/s,25,36,264,Pants carrying bronze,0.6
Bronze Ring,BP_ZB_JieZhi_3_c,ring,Materials,1.5/s,25,36,264,A ring made of bronze,0.15
Bronze Shoes,BP_ZB_XieZi_3_c,shoes,Materials,1.5/s,25,36,264,Shoes made of bronze,0.45
Iron Costume,BP_ZB_YiFu_4_c,costume,Materials,1.5/s,25,36,264,Costume made of iron,0.8
Iron Gloves,BP_ZB_ShouTao_4_c,gloves,Materials,1.5/s,25,36,264,Gloves made of iron,0.4
Iron Necklace,BP_ZB_XiangLian_4_c,necklare,Materials,1.5/s,25,36,264,A necklace made of iron,0.2
Iron Pants,BP_ZB_KuZi_4_c,pants,Materials,1.5/s,25,36,264,Pants carrying iron,0.8
Iron Ring,BP_ZB_JieZhi_4_c,ring,Materials,1.5/s,25,36,264,A ring made of iron,0.2
Iron Shoes,BP_ZB_XieZi_4_c,shoes,Materials,1.5/s,25,36,264,Shoes made of iron,0.6
Steel Costume,BP_ZB_YiFu_5_c,costume,Materials,1.5/s,25,36,264,A costume made of steel,1
Steel Gloves,BP_ZB_ShouTao_5_c,gloves,Materials,1.5/s,25,36,264,A pair of gloves made of steel,0.5
Steel Necklace,BP_ZB_XiangLian_5_c,necklare,Materials,1.5/s,25,36,264,A necklace made of steel,0.25
Steel Pants,BP_ZB_KuZi_5_c,pants,Materials,1.5/s,25,36,264,Pants carrying steel,1
Steel Ring,BP_ZB_JieZhi_5_c,ring,Materials,1.5/s,25,36,264,A ring made of steel,0.25
Steel Shoes,BP_ZB_XieZi_5_c,shoes,Materials,1.5/s,25,36,264,A pair of shoes made of steel,0.75
Linen Costume,BP_ZB_YiFu_1_c,costume,Materials,1.5/s,25,36,264,Costume made of linen,0.2
Linen Gloves,BP_ZB_ShouTao_1_c,gloves,Materials,1.5/s,25,36,264,Gloves made of linen,0.1
Linen Pants,BP_ZB_KuZi_1_c,pants,Materials,1.5/s,25,36,264,Pants made of linen,0.2
Linen Shoes,BP_ZB_XieZi_1_c,shoes,Materials,1.5/s,25,36,264,Shoes made of linen,0.15
